,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,lebu,0.0,ET,2018-11-30 18:29:40,62.0,8.96,38.73,52.39,6.24
1,nome,90.0,US,2018-11-30 18:15:00,73.0,30.04,-94.42,77.29,11.41
2,yumen,0.0,CN,2018-11-30 18:29:41,70.0,40.29,97.04,23.27,3.89
3,longyearbyen,90.0,NO,2018-11-30 17:50:00,79.0,78.22,15.63,26.6,24.16
4,belaya gora,56.0,RU,2018-11-30 18:21:32,77.0,68.54,146.19,-11.93,7.29
5,hithadhoo,92.0,MV,2018-11-30 18:29:42,100.0,-0.6,73.08,83.57,7.85
6,vaini,12.0,IN,2018-11-30 18:29:42,64.0,15.34,74.49,69.44,4.5
7,bataipora,68.0,BR,2018-11-30 18:29:42,89.0,-22.3,-53.27,80.1,4.72
8,naberera,44.0,TZ,2018-11-30 18:29:43,59.0,-4.2,36.93,74.89,12.28
9,thinadhoo,80.0,MV,2018-11-30 18:29:43,100.0,0.53,72.93,83.12,9.37
10,ushuaia,75.0,AR,2018-11-30 18:00:00,70.0,-54.81,-68.31,48.38,34.45
11,gerash,0.0,IR,2018-11-30 18:00:00,82.0,27.67,54.14,55.4,2.55
12,mataura,92.0,NZ,2018-11-30 18:29:44,99.0,-46.19,168.86,55.22,3.6
13,tiksi,68.0,RU,2018-11-30 18:29:44,64.0,71.64,128.87,-8.23,5.79
14,cuamba,20.0,MZ,2018-11-30 18:29:44,85.0,-14.8,36.54,70.43,7.25
15,xiaoweizhai,92.0,CN,2018-11-30 18:29:44,100.0,26.23,107.51,51.08,3.27
16,ostrovnoy,92.0,RU,2018-11-30 18:29:45,98.0,68.05,39.51,32.72,19.33
17,cayenne,75.0,GF,2018-11-30 18:00:00,70.0,4.94,-52.33,84.2,13.87
18,punta arenas,40.0,CL,2018-11-30 18:00:00,84.0,-53.16,-70.91,50.95,33.33
20,albany,90.0,US,2018-11-30 17:57:00,56.0,42.65,-73.75,34.88,3.36
21,mar del plata,44.0,AR,2018-11-30 18:29:46,45.0,-46.43,-67.52,59.14,16.08
22,bluff,0.0,AU,2018-11-30 18:29:47,59.0,-23.58,149.07,62.87,3.11
23,san carlos de bariloche,0.0,AR,2018-11-30 18:00:00,21.0,-41.13,-71.31,62.6,21.92
24,busselton,36.0,AU,2018-11-30 18:29:47,100.0,-33.64,115.35,59.72,13.06
25,massaranduba,75.0,BR,2018-11-30 17:00:00,40.0,-7.18,-35.73,87.8,12.75
26,storforshei,40.0,NO,2018-11-30 17:50:00,94.0,66.4,14.52,39.2,8.05
27,kruisfontein,8.0,ZA,2018-11-30 18:29:48,69.0,-34.0,24.73,73.49,16.46
28,jabinyanah,0.0,TN,2018-11-30 18:00:00,44.0,35.03,10.91,59.0,11.41
29,cape town,40.0,ZA,2018-11-30 18:00:00,82.0,-33.93,18.42,64.4,20.8
31,praia,75.0,BR,2018-11-30 17:00:00,45.0,-20.25,-43.81,83.21,4.7
32,saint george,75.0,GR,2018-11-30 17:50:00,87.0,39.45,22.34,43.75,2.82
33,kapaa,75.0,US,2018-11-30 17:56:00,68.0,22.08,-159.32,76.42,12.75
34,saskylakh,36.0,RU,2018-11-30 18:29:51,56.0,71.97,114.09,-19.17,3.89
35,nanortalik,88.0,GL,2018-11-30 18:27:48,91.0,60.14,-45.24,30.11,7.07
36,san patricio,92.0,PY,2018-11-30 18:29:52,84.0,-26.98,-56.83,78.66,2.89
38,valleyview,80.0,CA,2018-11-30 18:29:52,98.0,55.07,-117.28,28.13,4.38
40,northam,20.0,GB,2018-11-30 17:50:00,81.0,51.04,-4.21,49.01,9.17
41,tezu,0.0,IN,2018-11-30 18:29:53,55.0,27.93,96.16,52.56,2.04
42,hervey bay,40.0,AU,2018-11-30 18:00:00,94.0,-25.3,152.85,69.8,10.42
43,karatau,0.0,KZ,2018-11-30 18:29:54,88.0,43.18,70.46,7.11,2.04
44,tuktoyaktuk,75.0,CA,2018-11-30 18:00:00,84.0,69.44,-133.03,3.2,3.36
45,saint-philippe,90.0,CA,2018-11-30 18:18:00,69.0,45.36,-73.48,32.7,6.93
46,ocho rios,75.0,JM,2018-11-30 18:00:00,78.0,18.41,-77.1,80.6,2.24
47,port alfred,88.0,ZA,2018-11-30 18:29:56,79.0,-33.59,26.89,72.86,22.24
49,nhulunbuy,0.0,AU,2018-11-30 18:00:00,88.0,-12.18,136.78,80.6,8.05
50,huautla,20.0,MX,2018-11-30 18:29:56,84.0,21.03,-98.29,77.09,3.38
51,sarany,88.0,RU,2018-11-30 18:29:57,86.0,58.55,58.76,15.75,12.44
52,pisco,90.0,PE,2018-11-30 18:00:00,30.0,-13.71,-76.2,71.6,8.05
53,deputatskiy,68.0,RU,2018-11-30 18:29:57,87.0,69.3,139.9,-21.24,3.0
54,nikolskoye,0.0,RU,2018-11-30 18:00:00,42.0,59.7,30.79,26.6,8.95
55,bundaberg,40.0,AU,2018-11-30 18:00:00,94.0,-24.87,152.35,69.8,13.67
56,petrokamenskoye,76.0,RU,2018-11-30 18:29:58,79.0,57.72,60.65,18.45,13.11
57,calama,0.0,CL,2018-11-30 18:00:00,10.0,-22.46,-68.93,71.6,23.04
58,meulaboh,20.0,ID,2018-11-30 18:29:59,100.0,4.14,96.13,77.36,4.27
59,college,90.0,US,2018-11-30 17:58:00,95.0,64.86,-147.8,17.29,3.11
60,diego de almagro,0.0,CL,2018-11-30 18:29:59,71.0,-26.39,-70.05,71.15,3.89
61,folldal,80.0,NO,2018-11-30 18:30:00,83.0,62.14,10.0,34.25,13.85
62,kavaratti,32.0,IN,2018-11-30 18:30:00,100.0,10.57,72.64,83.57,8.03
63,khatanga,0.0,RU,2018-11-30 18:30:00,0.0,71.98,102.47,-37.57,5.01
